,yearID,PA,BB.,K.,BB.K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC.,lgID
88,1956,43428,8.80%,11.00%,0.8,0.264,0.331,0.417,0.748,0.153,4.2,0.273,NA,NA,1.5,5208,179.4,0.331,100,NL
89,1957,44207,8.40%,11.60%,0.72,0.269,0.332,0.416,0.748,0.147,4.3,0.282,NA,NA,11.7,5360,430.7,0.331,100,NL
90,1958,43692,8.90%,11.70%,0.77,0.27,0.338,0.421,0.759,0.152,4.3,0.283,NA,NA,12,5439,527.6,0.335,100,NL
91,1959,43656,8.70%,12.10%,0.72,0.27,0.336,0.418,0.755,0.148,4.2,0.286,NA,NA,-4.1,5503,500.4,0.333,100,NL
92,1960,43544,8.70%,13.10%,0.66,0.263,0.329,0.404,0.733,0.141,4.5,0.283,NA,NA,-8.6,5144,245,0.326,100,NL
93,1961,43626,8.70%,12.60%,0.69,0.27,0.337,0.421,0.757,0.151,4.5,0.287,NA,NA,-9.3,5514,361.9,0.334,99,NL
94,1962,57423,8.80%,13.10%,0.67,0.27,0.337,0.41,0.747,0.14,4.5,0.291,NA,NA,-0.6,7170,503.6,0.333,100,NL
95,1963,56246,7.80%,14.30%,0.55,0.254,0.316,0.38,0.696,0.126,4.2,0.279,NA,NA,-25.7,6117,238.9,0.309,100,NL
96,1964,56565,7.40%,13.70%,0.55,0.263,0.321,0.391,0.712,0.128,4.2,0.288,NA,NA,-12.9,6383,348,0.315,100,NL
97,1965,56965,8.00%,14.30%,0.56,0.258,0.322,0.39,0.712,0.132,4.4,0.283,NA,NA,-8.1,6509,499,0.316,100,NL
98,1966,56651,7.50%,13.70%,0.55,0.265,0.323,0.399,0.722,0.134,4.3,0.288,NA,NA,-10.3,6627,621.7,0.318,100,NL
99,1967,56523,8.00%,14.00%,0.57,0.258,0.321,0.379,0.7,0.121,4.2,0.285,NA,NA,-1,6219,555.8,0.313,100,NL
100,1968,56061,7.30%,14.10%,0.52,0.252,0.31,0.355,0.666,0.103,4.1,0.281,NA,NA,-9,5546,394,0.302,100,NL
101,1969,68359,9.00%,14.10%,0.64,0.259,0.33,0.384,0.714,0.125,4.2,0.286,NA,NA,-18.6,7823,508.4,0.323,100,NL
102,1970,69494,9.60%,13.80%,0.7,0.267,0.34,0.408,0.748,0.141,4.8,0.291,NA,NA,27.6,8641,780.8,0.334,100,NL
103,1971,68255,8.60%,12.90%,0.66,0.26,0.326,0.38,0.706,0.121,4.3,0.282,NA,NA,11.3,7498,481.6,0.32,100,NL
104,1972,65523,8.80%,13.40%,0.66,0.257,0.325,0.379,0.704,0.122,4.3,0.28,NA,NA,5.9,7174,759.1,0.32,100,NL
